DBName,Version,RAC,#RAC Nodes,Servers,Sockets,Cores,SGA,PGA,DBSize(GB),Reads/Writes,Total Reads,Total Writes
PHPPRD,11.2.0.3.0,NO,1,db02-biprd.ctn.ameripath.local,2,4,4.3,2.1,2394.6,OLAP,7577961,3259903
D10A,11.2.0.4.0,NO,1,lnbrorad23,2,16,5.3,2.1,416.45,OLAP,8544697,2302875
G12A,11.2.0.3.0,YES,2,"lnbrorad10,lnbrorad11",2,16,3.7,2.1,1637.62,OLTP,1886813,3474950
F15A,12.1.0.2.0,NO,1,lnbrorad24,2,16,10.7,10.7,4262.51,OLAP,50258710,3035106
A43A,12.1.0.2.0,NO,1,lnbrorad24,2,16,2.1,2.1,89.08,Mixed Workload,2142150,1726188
C66A,12.1.0.2.0,NO,1,lnbrorad01,2,16,2.1,2.1,11.02,Mixed Workload,1802330,1756746
E10C,12.1.0.2.0,NO,1,lnbrorad24,2,16,5.3,2.1,916.39,OLAP,185484341,22874671
PLBQA,11.2.0.3.0,YES,2,"db01-biqa.ctn.ameripath.local,db02-biqa.ctn.ameripath.local",2,2,4.3,1.0,67.85,OLAP,37704503,1282296
CGPRD,11.2.0.3.0,YES,2,"rdbm01-lisprd.ctn.ameripath.local,rdbm02-lisprd.ctn.ameripath.local",4,16,16.1,8.6,2464.97,OLAP,1322354918,165869122
PLRPRD,11.2.0.3.0,YES,2,"db01-biprd.ctn.ameripath.local,db02-biprd.ctn.ameripath.local",2,4,8.6,2.1,4566.1,OLAP,1065611790,45942268
PLBPRD,11.2.0.3.0,YES,2,"db01-biprd.ctn.ameripath.local,db02-biprd.ctn.ameripath.local",2,4,4.3,2.1,353.93,OLAP,25896312,9328355
DBAMON,ACTION_TIME,NO,1,oracle-grid.ctn.ameripath.local,,,0.5,0.3,1.38,Mixed Workload,0,0
P117B,12.1.0.2.0,NO,1,chln117,2,16,2.5,2.1,63.44,OLTP,4315535,5477663
P102A,12.1.0.2.0,NO,1,chln121,2,16,10.1,2.1,2625.73,OLAP,95561974,15329406
P168A,12.1.0.2.0,YES,3,"lnbrorap11,lnbrorap12,lnbrorap13",2,16,2.6,2.1,154.01,OLAP,18681805,4502935
P59A,12.1.0.2.0,NO,1,chln121,2,16,2.6,2.1,2.77,OLAP,3800164,1393632
P111A,11.2.0.4.0,NO,1,chln116,2,16,2.6,2.1,4567.97,OLAP,9124820,1763906
P29A,12.1.0.2.0,NO,1,chln121,2,16,2.6,2.1,11.04,OLAP,18893886,6590359
Q07A,12.1.0.2.0,NO,1,lnbrorad25,2,16,3.2,2.1,216.55,OLAP,47629179,5472129
E10A,11.2.0.4.0,NO,1,lnbrorad23,2,16,8.6,2.1,1423.89,OLAP,205740040,6800137
