~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
PHYSICAL_MEMORY_GB                                           504.65
NUM_CPU_SOCKETS                                              2
NUM_CPU_CORES                                                16
NUM_CPUS                                                     32
!CPU_COUNT                                                   32
!CPU_CORE_COUNT                                              16
!CPU_SOCKET_COUNT                                            2
!PLATFORM_NAME                                               Linux x86 64-bit
PLATFORM_NAME                                                Linux_x86_64-bit
VERSION                                                      11.2.0.4.0
DB_NAME                                                      G91A
DBID                                                         13260304
INSTANCES                                                    1
HOSTS                                                        lnbrorad25
MODULE                                                       SQL*Plus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.17



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
        54 2019-05-26 18:38:57      APPLY                                                                                          25344801                                Patch 25344801 applied
        53 2019-05-26 18:31:07      APPLY                                                                                          20724902                                Patch 20724902 applied
        52 2019-05-26 18:31:06      APPLY                                                                                           9199532                                Patch 9199532 applied
        51 2019-05-26 18:30:47      APPLY                                                                                          27068394                                Patch 27068394 applied
        50 2019-05-26 18:30:42      APPLY                          SERVER                         11.2.0.4                           181016 PSU                            PSU 11.2.0.4.181016
        49 2018-10-21 22:41:27      APPLY                                                                                          25344801                                Patch 25344801 applied
        47 2018-10-21 22:34:26      APPLY                                                                                           9199532                                Patch 9199532 applied
        48 2018-10-21 22:34:26      APPLY                                                                                          20724902                                Patch 20724902 applied
        46 2018-10-21 22:34:07      APPLY                                                                                          27068394                                Patch 27068394 applied
        45 2018-10-21 22:34:03      APPLY                          SERVER                         11.2.0.4                           180717 PSU                            PSU 11.2.0.4.180717

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.03



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SQL*Plus

~~END-MODULE~~
Elapsed: 00:00:00.02

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     64237      64440        204          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     64237               1        1.3         .3        1.6
     64238               1        1.3         .3        1.6
     64239               1        1.3         .3        1.6
     64240               1        1.3         .3        1.6
     64241               1        1.3         .3        1.6
     64242               1        1.3         .3        1.6
     64243               1        1.3         .3        1.6
     64244               1        1.3         .3        1.6
     64245               1        1.3         .3        1.6
     64246               1        1.3         .3        1.6
     64247               1        1.3         .3        1.6
     64248               1        1.3         .3        1.6
     64249               1        1.3         .3        1.6
     64250               1        1.3         .3        1.6
     64251               1        1.3         .3        1.6
     64252               1        1.3         .3        1.6
     64253               1        1.3         .3        1.6
     64254               1        1.3         .3        1.6
     64255               1        1.3         .3        1.6
     64256               1        1.3         .3        1.6
     64257               1        1.3         .3        1.6
     64258               1        1.3         .3        1.6
     64259               1        1.3         .3        1.6
     64260               1        1.3         .3        1.6
     64261               1        1.3         .3        1.6
     64262               1        1.3         .3        1.6
     64263               1        1.3         .3        1.6
     64264               1        1.3         .3        1.6
     64265               1        1.3         .3        1.6
     64266               1        1.3         .3        1.6
     64267               1        1.3         .3        1.6
     64268               1        1.3         .3        1.6
     64269               1        1.3         .3        1.6
     64270               1        1.3         .3        1.6
     64271               1        1.3         .3        1.6
     64272               1        1.3         .3        1.6
     64273               1        1.3         .3        1.6
     64274               1        1.3         .3        1.6
     64275               1        1.3         .3        1.6
     64276               1        1.3         .3        1.6
     64277               1        1.3         .3        1.6
     64278               1        1.3         .3        1.6
     64279               1        1.3         .3        1.6
     64280               1        1.3         .3        1.6
     64281               1        1.3         .3        1.6
     64282               1        1.3         .3        1.6
     64283               1        1.3         .3        1.6
     64284               1        1.3         .3        1.6
     64285               1        1.3         .3        1.6
     64286               1        1.3         .3        1.6
     64287               1        1.3         .3        1.6
     64288               1        1.3         .3        1.6
     64289               1        1.3         .3        1.6
     64290               1        1.3         .3        1.6
     64291               1        1.3         .3        1.6
     64292               1        1.3         .3        1.6
     64293               1        1.3         .3        1.6
     64294               1        1.3         .3        1.6
     64295               1        1.3         .3        1.6
     64296               1        1.3         .3        1.6
     64297               1        1.3         .3        1.6
     64298               1        1.3         .3        1.6
     64299               1        1.3         .3        1.6
     64300               1        1.3         .3        1.6
     64301               1        1.3         .3        1.6
     64302               1        1.3         .3        1.6
     64303               1        1.3         .3        1.6
