~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
PHYSICAL_MEMORY_GB                                           16
NUM_CPU_SOCKETS                                              2
NUM_CPU_CORES                                                2
NUM_CPUS                                                     2
!CPU_COUNT                                                   2
!CPU_CORE_COUNT                                              2
!CPU_SOCKET_COUNT                                            2
!PLATFORM_NAME                                               Solaris[tm] OE (64-bit)
PLATFORM_NAME                                                Solaris[tm]_OE_(64-bit)
VERSION                                                      11.2.0.3.0
DB_NAME                                                      PLRTST
DBID                                                         2216445149
INSTANCES                                                    1
HOSTS                                                        db01-bitst.ctn.ameripath.local
MODULE                                                       sqlplus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.55



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
         5 2018-09-14 17:14:30      APPLY                          SERVER                         11.2.0.3                               13 PSU                            PSU 11.2.0.3.13
         4 2012-11-12 17:01:06      APPLY                          SERVER                         11.2.0.3                                4 PSU                            PSU 11.2.0.3.4
         3 2012-07-22 23:32:26      APPLY                          SERVER                         11.2.0.3                                3 PSU                            PSU 11.2.0.3.3
         2 2012-07-22 23:29:16      UPGRADE                        SERVER                         11.2.0.3.0                                                               Upgraded from 10.2.0.4.0
         1 2012-07-22 23:29:14      VIEW INVALIDATE                                                                                 8289601                                view invalidation

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.13



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sqlplus

~~END-MODULE~~
Elapsed: 00:00:00.09

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     72370      72551        182          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     72370               1        1.2         .1        1.3
     72371               1        1.2         .1        1.3
     72372               1        1.2         .1        1.3
     72373               1        1.2         .1        1.3
     72374               1        1.2         .1        1.3
     72375               1        1.2         .1        1.3
     72376               1        1.2         .1        1.3
     72377               1        1.2         .1        1.3
     72378               1        1.2         .1        1.3
     72379               1        1.2         .1        1.3
     72380               1        1.2         .1        1.3
     72381               1        1.2         .1        1.3
     72382               1        1.2         .1        1.3
     72383               1        1.2         .1        1.3
     72384               1        1.2         .1        1.3
     72385               1        1.2         .1        1.3
     72386               1        1.2         .1        1.3
     72387               1        1.2         .1        1.3
     72388               1        1.2         .1        1.3
     72389               1        1.2         .1        1.3
     72390               1        1.2         .1        1.3
     72391               1        1.2         .2        1.4
     72392               1        1.2         .1        1.3
     72393               1        1.2         .1        1.3
     72394               1        1.2         .1        1.3
     72395               1        1.2         .1        1.3
     72396               1        1.2         .1        1.3
     72397               1        1.2         .1        1.3
     72398               1        1.2         .1        1.3
     72399               1        1.2         .1        1.3
     72400               1        1.2         .1        1.3
     72401               1        1.2         .1        1.3
     72402               1        1.2         .1        1.3
     72403               1        1.2         .1        1.3
     72404               1        1.2         .1        1.3
     72405               1        1.2         .1        1.3
     72406               1        1.2         .1        1.3
     72407               1        1.2         .1        1.3
     72408               1        1.2         .1        1.3
     72409               1        1.2         .1        1.3
     72410               1        1.2         .1        1.3
     72411               1        1.2         .1        1.3
     72412               1        1.2         .1        1.3
     72413               1        1.2         .1        1.3
     72414               1        1.2         .1        1.3
     72415               1        1.2         .1        1.3
     72416               1        1.2         .2        1.4
     72417               1        1.2         .1        1.3
     72418               1        1.2         .1        1.3
     72419               1        1.2         .1        1.3
     72420               1        1.2         .1        1.3
     72421               1        1.2         .1        1.3
     72422               1        1.2         .1        1.3
     72423               1        1.2         .1        1.3
     72424               1        1.2         .1        1.3
     72425               1        1.2         .1        1.3
     72426               1        1.2         .1        1.3
     72427               1        1.2         .1        1.3
     72428               1        1.2         .1        1.3
     72429               1        1.2         .1        1.3
     72430               1        1.2         .1        1.3
     72431               1        1.2         .1        1.3
     72432               1        1.2         .1        1.3
     72433               1        1.2         .1        1.3
     72434               1        1.2         .1        1.3
     72435               1        1.2         .1        1.3
     72436               1        1.2         .1        1.3
     72437               1        1.2         .1        1.3
     72438               1        1.2         .1        1.3
     72439               1        1.2         .1        1.3
     72440               1        1.2         .1        1.3
     72441               1        1.2         .1        1.3
     72442               1        1.2         .1        1.3
     72443               1        1.2         .1        1.3
     72444               1        1.2         .1        1.3
     72445               1        1.2         .1        1.3
     72446               1        1.2         .1        1.3
     72447               1        1.2         .1        1.3
     72448               1        1.2         .1        1.3
     72449               1        1.2         .1        1.3
     72450               1        1.2         .1        1.3
     72451               1        1.2         .1        1.3
     72452               1        1.2         .1        1.3
     72453               1        1.2         .1        1.3
     72454               1        1.2         .1        1.3
     72455               1        1.2         .1        1.3
     72456               1        1.2         .1        1.3
     72457               1        1.2         .1        1.3
     72458               1        1.2         .1        1.3
     72459               1        1.2         .1        1.3
     72460               1        1.2         .1        1.3
     72461               1        1.2         .1        1.3
     72462               1        1.2         .1        1.3
     72463               1        1.2         .1        1.3
     72464               1        1.2         .1        1.3
     72465               1        1.2         .1        1.3
     72466               1        1.2         .1        1.3
     72467               1        1.2         .1        1.3
     72468               1        1.2         .1        1.3
     72469               1        1.2         .1        1.3
     72470               1        1.2         .1        1.3
     72471               1        1.2         .1        1.3
     72472               1        1.2         .1        1.3
     72473               1        1.2         .1        1.3
     72474               1        1.2         .1        1.3
     72475               1        1.2         .1        1.3
     72476               1        1.2         .1        1.3
     72477               1        1.2         .1        1.3
     72478               1        1.2         .1        1.3
     72479               1        1.2         .1        1.3
     72480               1        1.2         .1        1.3
     72481               1        1.2         .1        1.3
     72482               1        1.2         .1        1.3
     72483               1        1.2         .1        1.3
     72484               1        1.2         .1        1.3
     72485               1        1.2         .1        1.3
     72486               1        1.2         .1        1.3
     72487               1        1.2         .1        1.3
     72488               1        1.2         .1        1.3
     72489               1        1.2         .1        1.3
     72490               1        1.2         .1        1.3
     72491               1        1.2         .1        1.3
     72492               1        1.2         .1        1.3
     72493               1        1.2         .1        1.3
     72494               1        1.2         .1        1.3
     72495               1        1.2         .1        1.3
     72496               1        1.2         .1        1.3
     72497               1        1.2         .1        1.3
     72498               1        1.2         .1        1.3
     72499               1        1.2         .1        1.3
     72500               1        1.2         .1        1.3
     72501               1        1.2         .1        1.3
     72502               1        1.2         .1        1.3
     72503               1        1.2         .1        1.3
     72504               1        1.2         .1        1.3
     72505               1        1.2         .1        1.3
     72506               1        1.2         .1        1.3
     72507               1        1.2         .1        1.3
     72508               1        1.2         .1        1.3
     72509               1        1.2         .1        1.3
     72510               1        1.2         .1        1.3
     72511               1        1.2         .1        1.3
     72512               1        1.2         .1        1.3
     72513               1        1.2         .1        1.3
     72514               1        1.2         .1        1.3
     72515               1        1.2         .1        1.3
     72516               1        1.2         .1        1.3
     72517               1        1.2         .1        1.3
     72518               1        1.2         .1        1.3
     72519               1        1.2         .1        1.3
     72520               1        1.2         .1        1.3
     72521               1        1.2         .1        1.3
     72522               1        1.2         .1        1.3
     72523               1        1.2         .1        1.3
     72524               1        1.2         .1        1.3
     72525               1        1.2         .1        1.3
     72526               1        1.2         .1        1.3
     72527               1        1.2         .1        1.3
     72528               1        1.2         .1        1.3
     72529               1        1.2         .1        1.3
     72530               1        1.2         .1        1.3
     72531               1        1.2         .1        1.3
     72532               1        1.2         .1        1.3
     72533               1        1.2         .1        1.3
     72534               1        1.2         .2        1.4
     72535               1        1.2         .1        1.3
     72536               1        1.2         .1        1.3
     72537               1        1.2         .1        1.3
     72538               1        1.2         .1        1.3
     72539               1        1.2         .1        1.3
     72540               1        1.2         .1        1.3
     72541               1        1.2         .1        1.3
     72542               1        1.2         .1        1.3
     72543               1        1.2         .1        1.3
     72544               1        1.2         .1        1.3
     72545               1        1.2         .1        1.3
     72546               1        1.2         .1        1.3
     72547               1        1.2         .1        1.3
     72548               1        1.2         .1        1.3
     72549               1        1.2         .1        1.3
     72550               1        1.2         .1        1.3
     72551               1        1.2         .1        1.3

~~END-MEMORY~~
Elapsed: 00:00:00.44



~~BEGIN-MEMORY-SGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
     72392               1            .7          .5            77699127       14049588
     72392               1             1         .75            63649539       38493607
     72392               1           1.3           1            25155932        4492849
     72392               1           1.6        1.25            20663083        3549502
     72392               1             2         1.5            17113581        4530584
     72392               1           2.3        1.75            12582997        1479169
     72392               1           2.6           2            11103828              0
     72400               1            .7          .5            77915549       14064688
     72400               1             1         .75            63850861       38636289
     72400               1           1.3           1            25214572        4498280
     72400               1           1.6        1.25            20716292        6212870
     72400               1             2         1.5            14503422        3366146
     72400               1           2.6           2            11137276              0
     72404               1            .7          .5            77939307       14067574
     72404               1             1         .75            63871733       38642941
     72404               1           1.3           1            25228792        4498294
     72404               1           1.6        1.25            20730498        6216374
     72404               1             2         1.5            14514124        3373089
     72404               1           2.6           2            11141035              0
     72417               1            .7          .5            77988041       14086713
     72417               1             1         .75            63901328       38660846
     72417               1           1.3           1            25240482        4510474
     72417               1           1.6        1.25            20730008        3566480
     72417               1             2         1.5            17163528        4540763
     72417               1           2.3        1.75            12622765        1484140
     72417               1           2.6           2            11138625              0
     72423               1            .7          .5            78170743       14098562
     72423               1             1         .75            64072181       38774206
     72423               1           1.3           1            25297975        4515689
     72423               1           1.6        1.25            20782286        3569544
     72423               1             2         1.5            17212742        4553635
     72423               1           2.3        1.75            12659107        1487521
     72423               1           2.6           2            11171586              0
     72463               1            .7          .5            78416818       14132629
     72463               1             1         .75            64284189       38920532
     72463               1           1.3           1            25363657        4522340
     72463               1           1.6        1.25            20841317        6244532
     72463               1             2         1.5            14596785        1902275
     72463               1           2.3        1.75            12694510        1493919
     72463               1           2.6           2            11200591              0
     72487               1            .7          .5            78609256       14142492
     72487               1             1         .75            64466764       39026052
     72487               1           1.3           1            25440712        4536079
     72487               1           1.6        1.25            20904633        6263503
     72487               1             2         1.5            14641130        3398879
     72487               1           2.6           2            11242251              0
     72488               1            .7          .5            78620444       14144196
     72488               1             1         .75            64476248       39018733
     72488               1           1.3           1            25457515        4536529
     72488               1           1.6        1.25            20920986        6262549
     72488               1             2         1.5            14658437        3403670
     72488               1           2.6           2            11254767              0
     72511               1            .7          .5            78758927       14141980
     72511               1             1         .75            64616947       39080689
     72511               1           1.3           1            25536258        4545454
     72511               1           1.6        1.25            20990804        6258937
     72511               1             2         1.5            14731867        3429519
     72511               1           2.6           2            11302348              0
     72535               1            .7          .5            78991409       14160215
     72535               1             1         .75            64831194       39220388
     72535               1           1.3           1            25610806        4551040
     72535               1           1.6        1.25            21059766        6282331
     72535               1             2         1.5            14777435        3431848
     72535               1           2.6           2            11345587              0

~~END-MEMORY-SGA-ADVICE~~
Elapsed: 00:00:00.90



~~BEGIN-MEMORY-PGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER PGA_TARGET_GB SIZE_FACTOR ESTD_EXTRA_MB_RW LEAD_SIZE_DIFF_MB ESTD_PGA_CACHE_HIT_PERCENTAGE
---------- --------------- ------------- ----------- ---------------- ----------------- -----------------------------
     72392               1            .1        .125          92953.8           90150.1                            80
     72392               1            .2         .25           2803.7            2803.7                            99
     72392               1            .7           1                0                 0                           100
     72392               1           5.5           8                0                 0                           100
     72400               1            .1        .125          93127.8           90324.1                            80
     72400               1            .2         .25           2803.7            2803.7                            99
     72400               1            .7           1                0                 0                           100
     72400               1           5.5           8                0                 0                           100
     72404               1            .1        .125          93141.7           90337.9                            80
     72404               1            .2         .25           2803.7            2803.7                            99
     72404               1            .7           1                0                 0                           100
     72404               1           5.5           8                0                 0                           100
     72417               1            .1        .125          93525.7           90670.2                            80
     72417               1            .2         .25           2855.5            2855.5                            99
     72417               1            .7           1                0                 0                           100
     72417               1           5.5           8                0                 0                           100
     72423               1            .1        .125          93711.9           90856.3                            80
     72423               1            .2         .25           2855.5            2855.5                            99
     72423               1            .7           1                0                 0                           100
     72423               1           5.5           8                0                 0                           100
     72463               1            .1        .125            93922           91066.4                            80
     72463               1            .2         .25           2855.5            2855.5                            99
     72463               1            .7           1                0                 0                           100
     72463               1           5.5           8                0                 0                           100
     72487               1            .1        .125            94116           91260.5                            80
     72487               1            .2         .25           2855.5            2855.5                            99
     72487               1            .7           1                0                 0                           100
     72487               1           5.5           8                0                 0                           100
     72488               1            .1        .125          94120.3           91264.7                            80
     72488               1            .2         .25           2855.5            2855.5                            99
     72488               1            .7           1                0                 0                           100
     72488               1           5.5           8                0                 0                           100
     72511               1            .1        .125          94362.1           91506.6                            80
     72511               1            .2         .25           2855.5            2855.5                            99
     72511               1            .7           1                0                 0                           100
     72511               1           5.5           8                0                 0                           100
     72535               1            .1        .125          94614.8           91759.2                            80
     72535               1            .2         .25           2855.5            2855.5                            99
     72535               1            .7           1                0                 0                           100
     72535               1           5.5           8                0                 0                           100

~~END-MEMORY-PGA-ADVICE~~
Elapsed: 00:00:00.48



~~BEGIN-SIZE-ON-DISK~~

   SNAP_ID    SIZE_GB
---------- ----------
     72392     139.96
     72416     139.96
     72439     139.96
     72463     139.96
     72487     139.96
     72511     139.96
     72535     139.96
     72551     139.96

~~END-SIZE-ON-DISK~~
Elapsed: 00:00:00.32



~~BEGIN-OSSTAT~~

   SNAP_ID INSTANCE_NUMBER       load       cpus      cores    sockets     mem_gb mem_free_gb       idle       busy       user        sys     iowait       nice   cpu_wait rsrc_mgr_wait      vm_in     vm_out  cpu_count
---------- --------------- ---------- ---------- ---------- ---------- ---------- ----------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ------------- ---------- ---------- ----------
     72370               1         .8          2          2          2      16384             5248767570  803137256  505288604  297848652          0            1704904300       2858952 6.1918E+11   14712832          2
     72371               1         .5          2          2          2      16384             5249402546  803223851  505345211  297878640          0            1705082500       2858956 6.1921E+11   14712832          2
     72372               1         .6          2          2          2      16384             5250030101  803305562  505399335  297906227          0            1705248000       2858956 6.1922E+11   14712832          2
     72373               1         .3          2          2          2      16384             5250668939  803388229  505453893  297934336          0            1705398700       2858956 6.1924E+11   14712832          2
     72374               1         .3          2          2          2      16384             5251307755  803470816  505508346  297962470          0            1705552800       2858956 6.1927E+11   14712832          2
     72375               1         .4          2          2          2      16384             5251946865  803553115  505562783  297990332          0            1705706000       2858956 6.1929E+11   14712832          2
     72376               1         .4          2          2          2      16384             5252585518  803635874  505617731  298018143          0            1705855300       2858956 6.1932E+11   14712832          2
     72377               1         .4          2          2          2      16384             5253223727  803719143  505672237  298046906          0            1706014500       2858956 6.1937E+11   14712832          2
     72378               1         .4          2          2          2      16384             5253862608  803801692  505726842  298074850          0            1706135900       2858956 6.1944E+11   14712832          2
     72379               1         .4          2          2          2      16384             5254501967  803883818  505781187  298102631          0            1706327100       2858956 6.1947E+11   14712832          2
     72380               1         .3          2          2          2      16384             5255130469  803964618  505834411  298130207          0            1706434900       2858956 6.1952E+11   14712832          2
     72381               1         .4          2          2          2      16384             5255769125  804047378  505889319  298158059          0            1706646200       2858956 6.1961E+11   14712832          2
     72382               1         .3          2          2          2      16384             5256351313  804186695  505988515  298198180          0            1706865500       2858956 6.1971E+11   14721024          2
     72383               1         .3          2          2          2      16384             5256990474  804268906  506043007  298225899          0            1707036600       2858956 6.1974E+11   14721024          2
     72384               1         .3          2          2          2      16384             5257629673  804351101  506097464  298253637          0            1707200300       2858956 6.1977E+11   14721024          2
     72385               1         .4          2          2          2      16384             5258268095  804434082  506152359  298281723          0            1707367300       2858956 6.1981E+11   14721024          2
     72386               1         .4          2          2          2      16384             5258907570  804516015  506206728  298309287          0            1707536100       2858956 6.1986E+11   14721024          2
     72387               1         .4          2          2          2      16384             5259546149  804598860  506261495  298337365          0            1707692100       2858956 6.1992E+11   14721024          2
     72388               1         .4          2          2          2      16384             5260182200  804684146  506317503  298366643          0            1707838000       2858956 6.1996E+11   14721024          2
     72389               1         .3          2          2          2      16384             5260809690  804765990  506371585  298394405          0            1707971000       2858956 6.1996E+11   14721024          2
     72390               1         .4          2          2          2      16384             5261448117  804848966  506426585  298422381          0            1708143100       2858956 6.1998E+11   14721024          2
     72391               1        5.2          2          2          2      16384             5262082856  804937996  506486048  298451948          0            1708346500       2863125 6.2003E+11   14721024          2
     72392               1         .4          2          2          2      16384             5262621573  805118764  506593661  298525103          0            1708921500       2874538 6.2009E+11   14721024          2
     72393               1         .7          2          2          2      16384             5263053793  805409275  506775451  298633824          0            1709553000       2874541 6.2011E+11   14721024          2
     72394               1         .6          2          2          2      16384             5263685741  805498563  506833561  298665002          0            1709706500       2874541 6.2015E+11   14721024          2
     72395               1         .6          2          2          2      16384             5264320556  805585140  506890512  298694628          0            1709887300       2874544 6.2019E+11   14721024          2
     72396               1         .5          2          2          2      16384             5264948429  805666707  506944543  298722164          0            1710018800       2874544 6.2022E+11   14721024          2
     72397               1         .3          2          2          2      16384             5265587164  805749406  506999157  298750249          0            1710166700       2874544 6.2028E+11   14721024          2
     72398               1         .3          2          2          2      16384             5266226244  805831752  507053482  298778270          0            1710305100       2874544 6.2030E+11   14721024          2
     72399               1        5.5          2          2          2      16384             5266860839  805919177  507111503  298807674          0            1710491400       2874958 6.2035E+11   14721024          2
     72400               1         .3          2          2          2      16384             5267438679  806062469  507209296  298853173          0            1710953500       2879480 6.2039E+11   14721024          2
     72401               1         .5          2          2          2      16384             5268068099  806154452  507268727  298885725          0            1711142500       2879480 6.2043E+11   14721024          2
     72402               1         .4          2          2          2      16384             5268702887  806241130  507325531  298915599          0            1711292100       2879480 6.2047E+11   14721024          2
     72403               1         .4          2          2          2      16384             5269338896  806326505  507381903  298944602          0            1711445600       2879480 6.2051E+11   14721024          2
     72404               1         .3          2          2          2      16384             5269947052  806427805  507451844  298975961          0            1711619500       2879549 6.2053E+11   14721024          2
     72405               1         .4          2          2          2      16384             5270582088  806514182  507508966  299005216          0            1711795500       2879549 6.2057E+11   14721024          2
     72406               1         .3          2          2          2      16384             5271161277  806656697  507610620  299046077          0            1712065800       2879549 6.2063E+11   14729216          2
     72407               1         .3          2          2          2      16384             5271796845  806742453  507667045  299075408          0            1712256400       2879549 6.2067E+11   14729216          2
     72408               1         .7          2          2          2      16384             5272420028  806840832  507734321  299106511          0            1712437800       2879550 6.2071E+11   14729216          2
     72409               1         .4          2          2          2      16384             5273055024  806927140  507791069  299136071          0            1712587400       2879550 6.2076E+11   14729216          2
     72410               1         .4          2          2          2      16384             5273691010  807012543  507847421  299165122          0            1712741500       2879550 6.2079E+11   14729216          2
     72411               1         .5          2          2          2      16384             5274325966  807098980  507904239  299194741          0            1712877800       2879550 6.2084E+11   14729216          2
     72412               1         .3          2          2          2      16384             5274937326  807197040  507970784  299226256          0            1713068200       2879596 6.2087E+11   14729216          2
     72413               1         .4          2          2          2      16384             5275568389  807287444  508029372  299258072          0            1713214000       2879596 6.2092E+11   14729216          2
     72414               1         .5          2          2          2      16384             5276202859  807374387  508086429  299287958          0            1713409100       2879596 6.2096E+11   14729216          2
     72415               1         .4          2          2          2      16384             5276838133  807460513  508143331  299317182          0            1713643700       2879596 6.2097E+11   14729216          2
     72416               1        3.8          2          2          2      16384             5277435867  807584501  508214921  299369580          0            1713918600       2879601 6.2100E+11   14753792          2
     72417               1         .6          2          2          2      16384             5277878426  807863958  508391509  299472449          0            1714544200       2879626 6.2102E+11   14770176          2
     72418               1         .4          2          2          2      16384             5278507689  807956042  508450237  299505805          0            1714707100       2879626 6.2103E+11   14794752          2
     72419               1        1.2          2          2          2      16384             5279141741  808043503  508507923  299535580          0            1714881200       2879629 6.2104E+11   14819328          2
     72420               1         .3          2          2          2      16384             5279770607  808124024  508561053  299562971          0            1715017800       2879629 6.2106E+11   14860288          2
     72421               1         .4          2          2          2      16384             5280409737  808206343  508615732  299590611          0            1715158200       2879629 6.2108E+11   14876672          2
     72422               1        5.6          2          2          2      16384             5281046072  808293037  508673126  299619911          0            1715348700       2882026 6.2110E+11   14917632          2
     72423               1         .4          2          2          2      16384             5281613983  808445607  508778181  299667426          0            1715830200       2883732 6.2115E+11   14934016          2
     72424               1         .4          2          2          2      16384             5282243212  808537818  508837452  299700366          0            1715994900       2883732 6.2119E+11   14942208          2
     72425               1         .4          2          2          2      16384             5282878639  808623907  508893769  299730138          0            1716195100       2883732 6.2120E+11   14942208          2
     72426               1         .4          2          2          2      16384             5283514311  808709671  508950078  299759593          0            1716366500       2883732 6.2124E+11   14966784          2
     72427               1         .3          2          2          2      16384             5284135128  808810560  509018913  299791647          0            1716569500       2883784 6.2126E+11   14966784          2
     72428               1         .4          2          2          2      16384             5284757914  808897128  509075611  299821517          0            1716790300       2883784 6.2129E+11   14974976          2
     72429               1         .4          2          2          2      16384             5285393718  808982731  509131780  299850951          0            1716965000       2883784 6.2132E+11   14974976          2
     72430               1         .3          2          2          2      16384             5285971928  809126045  509233454  299892591          0            1717202400       2883784 6.2142E+11   14983168          2
     72431               1         .4          2          2          2      16384             5286595245  809224176  509300381  299923795          0            1717397200       2883883 6.2145E+11   14991360          2
     72432               1         .4          2          2          2      16384             5287229236  809311566  509357706  299953860          0            1717590300       2883883 6.2149E+11   14991360          2
     72433               1         .4          2          2          2      16384             5287864862  809397360  509414030  299983330          0            1717773900       2883883 6.2151E+11   14991360          2
     72434               1         .4          2          2          2      16384             5288500147  809483512  509470435  300013077          0            1717943500       2883883 6.2155E+11   14991360          2
     72435               1         .7          2          2          2      16384             5289122762  809582342  509536703  300045639          0            1718127600       2883897 6.2158E+11   14991360          2
     72436               1         .3          2          2          2      16384             5289746289  809668208  509592507  300075701          0            1718291800       2883897 6.2161E+11   14991360          2
     72437               1         .5          2          2          2      16384             5290380351  809755550  509649486  300106064          0            1718465700       2883897 6.2163E+11   14999552          2
     72438               1         .4          2          2          2      16384             5291014921  809842370  509706085  300136285          0            1718631800       2883897 6.2168E+11   14999552          2
     72439               1         .4          2          2          2      16384             5291611953  809966874  509774936  300191938          0            1718839400       2883915 6.2170E+11   14999552          2
