~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     32
NUM_CPU_CORES                                                16
NUM_CPU_SOCKETS                                              2
PHYSICAL_MEMORY_GB                                           757.14
!CPU_COUNT                                                   32
!CPU_CORE_COUNT                                              16
!CPU_SOCKET_COUNT                                            2
!PLATFORM_NAME                                               Linux x86 64-bit
PLATFORM_NAME                                                Linux_x86_64-bit
VERSION                                                      11.2.0.4.0
DB_NAME                                                      P111A
DBID                                                         282144723
INSTANCES                                                    1
HOSTS                                                        chln116
MODULE                                                       SQL*Plus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.09



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
        49 2019-06-09 01:13:40      APPLY                                                                                          25344801                                Patch 25344801 applied
        48 2019-06-09 01:10:24      APPLY                                                                                          20724902                                Patch 20724902 applied
        47 2019-06-09 01:10:23      APPLY                                                                                           9199532                                Patch 9199532 applied
        46 2019-06-09 01:10:04      APPLY                                                                                          27068394                                Patch 27068394 applied
        45 2019-06-09 01:10:00      APPLY                          SERVER                         11.2.0.4                           181016 PSU                            PSU 11.2.0.4.181016
        44 2018-05-06 01:35:11      APPLY                                                                                          25344801                                Patch 25344801 applied
        42 2018-05-06 01:33:37      APPLY                                                                                           9199532                                Patch 9199532 applied
        43 2018-05-06 01:33:37      APPLY                                                                                          20724902                                Patch 20724902 applied
        41 2018-05-06 01:33:27      APPLY                                                                                          27068394                                Patch 27068394 applied
        40 2018-05-06 01:33:24      APPLY                          SERVER                         11.2.0.4                           180116 PSU                            PSU 11.2.0.4.180116

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.02



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SQL*Plus

~~END-MODULE~~
Elapsed: 00:00:00.02

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     79215      79394        180          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.00

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     79215               1        1.9         .5        2.4
     79216               1        1.9         .5        2.4
     79217               1        1.9         .5        2.4
     79218               1        1.9         .5        2.4
     79219               1        1.9         .7        2.6
     79220               1        1.9         .5        2.4
     79221               1        1.9         .5        2.4
     79222               1        1.9         .5        2.4
     79223               1        1.9         .7        2.6
     79224               1        1.9         .5        2.4
     79225               1        1.9         .5        2.4
     79226               1        1.9         .5        2.4
     79227               1        1.9         .7        2.6
     79228               1        1.9         .5        2.4
     79229               1        1.9         .5        2.4
     79230               1        1.9         .5        2.4
     79231               1        1.9         .5        2.4
     79232               1        1.9         .5        2.4
     79233               1        1.9         .5        2.4
     79234               1        1.9         .5        2.4
     79235               1        1.9         .5        2.4
     79236               1        1.9         .5        2.4
     79237               1        1.9         .5        2.4
     79238               1        1.9         .5        2.4
     79239               1        1.9         .5        2.4
     79240               1        1.9         .5        2.4
     79241               1        1.9         .5        2.4
     79242               1        1.9         .5        2.4
     79243               1        1.9         .6        2.5
     79244               1        1.9         .5        2.4
     79245               1        1.9         .5        2.4
     79246               1        1.9         .5        2.4
     79247               1        1.9         .7        2.6
     79248               1        1.9         .5        2.4
     79249               1        1.9         .5        2.4
     79250               1        1.9         .5        2.4
     79251               1        1.9         .5        2.4
     79252               1        1.9         .5        2.4
     79253               1        1.9         .5        2.4
     79254               1        1.9         .5        2.4
     79255               1        1.9         .5        2.4
     79256               1        1.9         .5        2.4
     79257               1        1.9         .5        2.4
     79258               1        1.9         .5        2.4
     79259               1        1.9         .5        2.4
     79260               1        1.9         .5        2.4
     79261               1        1.9         .5        2.4
     79262               1        1.9         .5        2.4
     79263               1        1.9         .5        2.4
     79264               1        1.9         .5        2.4
     79265               1        1.9         .5        2.4
     79266               1        1.9         .5        2.4
     79267               1        1.9         .5        2.4
     79268               1        1.9         .5        2.4
     79269               1        1.9         .5        2.4
     79270               1        1.9         .5        2.4
     79271               1        1.9         .6        2.5
     79272               1        1.9         .5        2.4
     79273               1        1.9         .5        2.4
     79274               1        1.9         .5        2.4
     79275               1        1.9         .7        2.6
     79276               1        1.9         .5        2.4
     79277               1        1.9         .5        2.4
     79278               1        1.9         .5        2.4
     79279               1        1.9         .5        2.4
     79280               1        1.9         .5        2.4
     79281               1        1.9         .5        2.4
