~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     16
NUM_CPU_CORES                                                8
NUM_CPU_SOCKETS                                              2
PHYSICAL_MEMORY_GB                                           32
!CPU_COUNT                                                   32
!CPU_CORE_COUNT                                              16
!CPU_SOCKET_COUNT                                            4
!PLATFORM_NAME                                               Solaris[tm] OE (64-bit)
PLATFORM_NAME                                                Solaris[tm]_OE_(64-bit)
VERSION                                                      11.2.0.3.0
DB_NAME                                                      PWSBE
DBID                                                         2850517992
INSTANCES                                                    2
HOSTS                                                        dbm01-lisdev.ctn.ameripath.local,dbm02-lisdev.ctn.ameripath.local
MODULE                                                       sqlplus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.39



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
         5 2014-01-27 00:00:28      APPLY                          SERVER                         11.2.0.3                                8 PSU                            PSU 11.2.0.3.8
         4 2014-01-26 23:57:41      APPLY                          SERVER                         11.2.0.3                                8 PSU                            PSU 11.2.0.3.8
         3 2013-04-10 18:20:49      APPLY                          SERVER                         11.2.0.3                                4 PSU                            PSU 11.2.0.3.4
         2 2013-04-10 18:19:01      UPGRADE                        SERVER                         11.2.0.3.0                                                               Upgraded from 10.2.0.4.0
         1 2013-04-10 18:19:00      VIEW INVALIDATE                                                                                 8289601                                view invalidation

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.13



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sqlplus

~~END-MODULE~~
Elapsed: 00:00:00.04

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     66073      66256        368          2           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     66073               1         .7         .2         .9
     66073               2         .7         .3          1
     66074               1         .7         .2         .9
     66074               2         .7         .2         .9
     66075               1         .7         .2         .9
     66075               2         .7         .2         .9
     66076               1         .7         .2         .9
     66076               2         .7         .3          1
     66077               1         .7         .2         .9
     66077               2         .7         .3          1
     66078               1         .7         .2         .9
     66078               2         .7         .3          1
     66079               1         .7         .2         .9
     66079               2         .7         .2         .9
     66080               1         .7         .2         .9
     66080               2         .7         .2         .9
     66081               1         .7         .2         .9
     66081               2         .7         .2         .9
     66082               1         .7         .2         .9
     66082               2         .7         .3          1
     66083               1         .7         .2         .9
     66083               2         .7         .3          1
     66084               1         .7         .2         .9
     66084               2         .7         .3          1
     66085               1         .7         .2         .9
     66085               2         .7         .2         .9
     66086               1         .7         .2         .9
     66086               2         .7         .3          1
     66087               1         .7         .2         .9
     66087               2         .7         .3          1
     66088               1         .7         .2         .9
     66088               2         .7         .2         .9
     66089               1         .7         .2         .9
     66089               2         .7         .3          1
     66090               1         .7         .2         .9
     66090               2         .7         .3          1
     66091               1         .7         .2         .9
     66091               2         .7         .2         .9
     66092               1         .7         .2         .9
     66092               2         .7         .3          1
     66093               1         .7         .2         .9
     66093               2         .7         .2         .9
     66094               1         .7         .2         .9
     66094               2         .7         .3          1
     66095               1         .7         .2         .9
     66095               2         .7         .3          1
     66096               1         .7         .3          1
     66096               2         .7         .2         .9
     66097               1         .7         .2         .9
     66097               2         .7         .2         .9
     66098               1         .7         .2         .9
     66098               2         .7         .3          1
     66099               1         .7         .2         .9
     66099               2         .7         .2         .9
     66100               1         .7         .2         .9
     66100               2         .7         .2         .9
     66101               1         .7         .2         .9
     66101               2         .7         .2         .9
     66102               1         .7         .2         .9
     66102               2         .7         .2         .9
     66103               1         .7         .2         .9
     66103               2         .7         .3          1
     66104               1         .7         .2         .9
     66104               2         .7         .4        1.1
     66105               1         .7         .2         .9
     66105               2         .7         .2         .9
     66106               1         .7         .2         .9
     66106               2         .7         .3          1
