~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     2
PHYSICAL_MEMORY_GB                                           15.71
!CPU_COUNT                                                   2
!CPU_CORE_COUNT
!CPU_SOCKET_COUNT
!PLATFORM_NAME                                               Solaris[tm] OE (64-bit)
PLATFORM_NAME                                                None
VERSION                                                      10.2.0.4.0
DB_NAME                                                      DBAMON
DBID                                                         293232861
INSTANCES                                                    1
HOSTS                                                        oracle-grid.ctn.ameripath.local
MODULE                                                       sqlplus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.70



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- --------------------------------------------------------------------------------
         1 2011-04-14 12:26:32      UPGRADE                        SERVER                         10.2.0.4.0                                Upgraded from 10.2.0.3.0

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.06



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sqlplus

~~END-MODULE~~
Elapsed: 00:00:00.06

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
    102380     103112        733          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.02

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
    102392               1         .5          0         .5
    102393               1         .5          0         .5
    102394               1         .5          0         .5
    102395               1         .5          0         .5
    102396               1         .5          0         .5
    102397               1         .5          0         .5
    102398               1         .5          0         .5
    102399               1         .5          0         .5
    102400               1         .5          0         .5
    102401               1         .5          0         .5
    102402               1         .5         .1         .6
    102403               1         .5          0         .5
    102404               1         .5          0         .5
    102405               1         .5          0         .5
    102406               1         .5          0         .5
    102407               1         .5          0         .5
    102408               1         .5          0         .5
    102409               1         .5          0         .5
    102410               1         .5          0         .5
    102411               1         .5          0         .5
    102412               1         .5          0         .5
    102413               1         .5          0         .5
    102414               1         .5          0         .5
    102415               1         .5          0         .5
    102416               1         .5          0         .5
    102417               1         .5          0         .5
    102418               1         .5          0         .5
    102419               1         .5          0         .5
    102420               1         .5          0         .5
    102421               1         .5          0         .5
    102422               1         .5          0         .5
    102423               1         .5          0         .5
    102424               1         .5          0         .5
    102425               1         .5          0         .5
    102426               1         .5         .1         .6
    102427               1         .5          0         .5
    102428               1         .5          0         .5
    102429               1         .5          0         .5
    102430               1         .5          0         .5
    102431               1         .5          0         .5
    102432               1         .5          0         .5
    102433               1         .5          0         .5
    102434               1         .5          0         .5
    102435               1         .5          0         .5
    102436               1         .5          0         .5
    102437               1         .5          0         .5
    102438               1         .5          0         .5
    102439               1         .5          0         .5
    102440               1         .5          0         .5
    102441               1         .5          0         .5
    102442               1         .5          0         .5
    102443               1         .5          0         .5
    102444               1         .5          0         .5
    102445               1         .5          0         .5
    102446               1         .5          0         .5
    102447               1         .5          0         .5
    102448               1         .5          0         .5
    102449               1         .5          0         .5
    102450               1         .5         .1         .6
    102451               1         .5          0         .5
    102452               1         .5          0         .5
    102453               1         .5          0         .5
    102454               1         .5          0         .5
    102455               1         .5          0         .5
    102456               1         .5          0         .5
    102457               1         .5          0         .5
    102458               1         .5         .1         .6
    102459               1         .5          0         .5
    102460               1         .5          0         .5
    102461               1         .5          0         .5
    102462               1         .5          0         .5
    102463               1         .5          0         .5
    102464               1         .5          0         .5
    102465               1         .5          0         .5
    102466               1         .5          0         .5
    102467               1         .5          0         .5
    102468               1         .5          0         .5
    102469               1         .5          0         .5
    102470               1         .5          0         .5
    102471               1         .5          0         .5
    102472               1         .5          0         .5
    102473               1         .5          0         .5
    102474               1         .5          0         .5
    102475               1         .5          0         .5
    102476               1         .5          0         .5
    102477               1         .5          0         .5
    102478               1         .5          0         .5
    102479               1         .5          0         .5
    102480               1         .5          0         .5
    102481               1         .5          0         .5
    102482               1         .5          0         .5
    102483               1         .5          0         .5
    102484               1         .5          0         .5
    102485               1         .5         .1         .6
    102486               1         .5         .1         .6
    102487               1         .5         .1         .6
    102488               1         .5         .1         .6
    102489               1         .5         .1         .6
    102490               1         .5         .1         .6
    102491               1         .5          0         .5
    102492               1         .5          0         .5
    102493               1         .5          0         .5
    102494               1         .5         .1         .6
    102495               1         .5          0         .5
    102496               1         .5         .1         .6
    102497               1         .5         .1         .6
    102498               1         .5         .1         .6
    102499               1         .5          0         .5
    102500               1         .5          0         .5
    102501               1         .5          0         .5
    102502               1         .5          0         .5
