~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     8
NUM_CPU_CORES                                                4
NUM_CPU_SOCKETS                                              2
PHYSICAL_MEMORY_GB                                           32
!CPU_COUNT                                                   16
!CPU_CORE_COUNT                                              8
!CPU_SOCKET_COUNT                                            4
!PLATFORM_NAME                                               Solaris[tm] OE (64-bit)
PLATFORM_NAME                                                Solaris[tm]_OE_(64-bit)
VERSION                                                      11.2.0.3.0
DB_NAME                                                      PHPPRD
DBID                                                         3294107533
INSTANCES                                                    1
HOSTS                                                        db02-biprd.ctn.ameripath.local
MODULE                                                       sqlplus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.55



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
         4 2013-02-03 06:11:26      APPLY                          SERVER                         11.2.0.3                                4 PSU                            PSU 11.2.0.3.4
         3 2013-02-03 02:00:22      APPLY                          SERVER                         11.2.0.3                                0 PSU                            Patchset 11.2.0.2.0
         2 2013-02-03 01:57:22      UPGRADE                        SERVER                         11.2.0.3.0                                                               Upgraded from 10.2.0.4.0
         1 2013-02-03 01:57:21      VIEW INVALIDATE                                                                                 8289601                                view invalidation

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.20



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sqlplus

~~END-MODULE~~
Elapsed: 00:00:00.11

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
    128056     128073         18          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.02

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
    128056               2        3.8         .5        4.3
    128057               2        3.8         .5        4.3
    128058               2        3.8         .5        4.3
    128059               2        3.8         .5        4.3
    128060               2        3.8         .5        4.3
    128061               2        3.8         .5        4.3
    128062               2        3.8         .5        4.3
    128063               2        3.8         .5        4.3
    128064               2        3.8         .5        4.3
    128065               2        3.8         .5        4.3
    128066               2        3.8         .5        4.3
    128067               2        3.8         .5        4.3
    128068               2        3.8         .5        4.3
    128069               2        3.8         .5        4.3
    128070               2        3.8         .5        4.3
    128071               2        3.8         .5        4.3
    128072               2        3.8         .5        4.3
    128073               2        3.8         .5        4.3

~~END-MEMORY~~
Elapsed: 00:00:00.68



~~BEGIN-MEMORY-SGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
    128056               2           1.5        .375           472717982      374770398
    128056               2             2          .5            97947584       17106967
    128056               2           2.5        .625            80840617       12826146
    128056               2             3         .75            68014471        7392167
    128056               2           3.5        .875            60622304        6228133
    128056               2             4           1            54394171        4803005
    128056               2           4.5       1.125            49591166        3921820
    128056               2             5        1.25            45669346        4819324
    128056               2           5.5       1.375            40850022        5912646
    128056               2             6         1.5            34937376        3040634
    128056               2             8           2            31896742              0
    128057               2           1.5        .375           472761821      374807604
    128057               2             2          .5            97954217       17107175
    128057               2           2.5        .625            80847042       12831742
    128057               2             3         .75            68015300        7392258
    128057               2           3.5        .875            60623042        6228208
    128057               2             4           1            54394834        4803064
    128057               2           4.5       1.125            49591770        3921867
    128057               2             5        1.25            45669903        4819383
    128057               2           5.5       1.375            40850520        5912718
    128057               2             6         1.5            34937802        3040671
    128057               2             8           2            31897131              0
    128058               2           1.5        .375           472759780      374804859
    128058               2             2          .5            97954921       17107298
    128058               2           2.5        .625            80847623       12831834
    128058               2             3         .75            68015789        7392311
    128058               2           3.5        .875            60623478        6228253
    128058               2             4           1            54395225        4803098
    128058               2           4.5       1.125            49592127        3921896
    128058               2             5        1.25            45670231        4819417
    128058               2           5.5       1.375            40850814        5912761
    128058               2             6         1.5            34938053        3040693
    128058               2             8           2            31897360              0
    128059               2           1.5        .375           472760336      374805300
    128059               2             2          .5            97955036       17107318
    128059               2           2.5        .625            80847718       12831849
    128059               2             3         .75            68015869        7392319
    128059               2           3.5        .875            60623550        6228261
    128059               2             4           1            54395289        4803104
    128059               2           4.5       1.125            49592185        3921900
    128059               2             5        1.25            45670285        4819423
    128059               2           5.5       1.375            40850862        5912768
    128059               2             6         1.5            34938094        3040697
    128059               2             8           2            31897397              0
    128060               2           1.5        .375           472760588      374805499
    128060               2             2          .5            97955089       17107328
    128060               2           2.5        .625            80847761       12831855
    128060               2             3         .75            68015906        7392324
    128060               2           3.5        .875            60623582        6228264
    128060               2             4           1            54395318        4803107
    128060               2           4.5       1.125            49592211        3921902
    128060               2             5        1.25            45670309        4819425
    128060               2           5.5       1.375            40850884        5912771
    128060               2             6         1.5            34938113        3040699
    128060               2             8           2            31897414              0
    128067               2           1.5        .375           487382802      386976378
    128067               2             2          .5           100406424       17443631
    128067               2           2.5        .625            82962793       13271602
    128067               2             3         .75            69691191        7688530
    128067               2           3.5        .875            62002661        6449699
    128067               2             4           1            55552962        4966435
    128067               2           4.5       1.125            50586527        4094253
    128067               2             5        1.25            46492274        4988656
    128067               2           5.5       1.375            41503618        6027496
    128067               2             6         1.5            35476122        3116522
    128067               2             8           2            32359600              0
    128069               2           1.5        .375           530369431      422666852
    128069               2             2          .5           107702579       19273645
    128069               2           2.5        .625            88428934       14437735
    128069               2             3         .75            73991199        8551805
    128069               2           3.5        .875            65439394        7105115
    128069               2             4           1            58334279        5512589
    128069               2           4.5       1.125            52821690        4573408
    128069               2             5        1.25            48248282        5331753
    128069               2           5.5       1.375            42916529        6329269
    128069               2             6         1.5            36587260        3284220
    128069               2             8           2            33303040              0
    128070               2           1.5        .375           561992702      448777655
    128070               2             2          .5           113215047       30420296
    128070               2           2.5        .625            82794751        5907030
