~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     32
NUM_CPU_CORES                                                16
NUM_CPU_SOCKETS                                              2
PHYSICAL_MEMORY_GB                                           756.56
!CPU_COUNT                                                   64
!CPU_CORE_COUNT                                              32
!CPU_SOCKET_COUNT                                            4
!PLATFORM_NAME                                               Linux x86 64-bit
PLATFORM_NAME                                                Linux_x86_64-bit
VERSION                                                      11.2.0.4.0
DB_NAME                                                      L79A
DBID                                                         4197345073
INSTANCES                                                    2
HOSTS                                                        lnbrorad10,lnbrorad11
MODULE                                                       SQL*Plus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.18



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
        81 2019-05-26 17:25:22      APPLY                                                                                          25344801                                Patch 25344801 applied
        80 2019-05-26 17:18:55      APPLY                                                                                          20724902                                Patch 20724902 applied
        79 2019-05-26 17:18:54      APPLY                                                                                           9199532                                Patch 9199532 applied
        78 2019-05-26 17:17:03      APPLY                                                                                          27068394                                Patch 27068394 applied
        77 2019-05-26 17:16:52      APPLY                          SERVER                         11.2.0.4                           181016 PSU                            PSU 11.2.0.4.181016
        76 2018-10-08 09:42:46      APPLY                                                                                          25344801                                Patch 25344801 applied
        75 2018-10-08 09:40:10      APPLY                                                                                          20724902                                Patch 20724902 applied
        74 2018-10-08 09:40:09      APPLY                                                                                           9199532                                Patch 9199532 applied
        73 2018-10-08 09:34:26      APPLY                                                                                          27068394                                Patch 27068394 applied
        72 2018-10-08 09:34:21      APPLY                          SERVER                         11.2.0.4                           180717 PSU                            PSU 11.2.0.4.180717

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.01



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SQL*Plus

~~END-MODULE~~
Elapsed: 00:00:00.01

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     47654      47857        408          2           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     47654               1        4.5         .7        5.2
     47654               2        4.6         .4          5
     47655               1        4.5         .7        5.2
     47655               2        4.6         .4          5
     47656               1        4.5         .7        5.2
     47656               2        4.6         .4          5
     47657               1        4.5         .7        5.2
     47657               2        4.6         .4          5
     47658               1        4.5         .7        5.2
     47658               2        4.6         .4          5
     47659               1        4.5         .7        5.2
     47659               2        4.6         .4          5
     47660               1        4.5         .7        5.2
     47660               2        4.6         .4          5
     47661               1        4.5         .7        5.2
     47661               2        4.6         .4          5
     47662               1        4.5         .7        5.2
     47662               2        4.6         .4          5
     47663               1        4.5         .7        5.2
     47663               2        4.6         .4          5
     47664               1        4.5         .7        5.2
     47664               2        4.6         .4          5
     47665               1        4.5         .7        5.2
     47665               2        4.6         .4          5
     47666               1        4.5         .7        5.2
     47666               2        4.6         .4          5
     47667               1        4.5         .7        5.2
     47667               2        4.6         .4          5
     47668               1        4.5         .7        5.2
     47668               2        4.6         .4          5
     47669               1        4.5         .7        5.2
     47669               2        4.6         .4          5
     47670               1        4.5         .7        5.2
     47670               2        4.6         .4          5
     47671               1        4.5         .7        5.2
     47671               2        4.6         .4          5
     47672               1        4.5         .7        5.2
     47672               2        4.6         .4          5
     47673               1        4.5         .7        5.2
     47673               2        4.6         .4          5
     47674               1        4.5         .7        5.2
     47674               2        4.6         .4          5
     47675               1        4.5         .7        5.2
     47675               2        4.6         .4          5
     47676               1        4.5         .7        5.2
     47676               2        4.6         .4          5
     47677               1        4.5         .7        5.2
     47677               2        4.6         .4          5
     47678               1        4.5         .7        5.2
     47678               2        4.6         .4          5
     47679               1        4.5         .7        5.2
     47679               2        4.6         .4          5
     47680               1        4.5         .7        5.2
     47680               2        4.6         .4          5
     47681               1        4.5         .7        5.2
     47681               2        4.6         .4          5
     47682               1        4.5         .7        5.2
     47682               2        4.6         .4          5
     47683               1        4.5         .7        5.2
     47683               2        4.6         .4          5
     47684               1        4.5         .7        5.2
     47684               2        4.6         .4          5
     47685               1        4.5         .7        5.2
     47685               2        4.6         .4          5
     47686               1        4.5         .7        5.2
     47686               2        4.6         .4          5
     47687               1        4.5         .7        5.2
     47687               2        4.6         .4          5
     47688               1        4.5         .7        5.2
     47688               2        4.6         .4          5
     47689               1        4.5         .7        5.2
     47689               2        4.6         .4          5
