~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
PHYSICAL_MEMORY_GB                                           504.65
NUM_CPU_SOCKETS                                              2
NUM_CPU_CORES                                                16
NUM_CPUS                                                     32
!CPU_COUNT                                                   32
!CPU_CORE_COUNT                                              16
!CPU_SOCKET_COUNT                                            2
!PLATFORM_NAME                                               Linux x86 64-bit
PLATFORM_NAME                                                Linux_x86_64-bit
VERSION                                                      11.2.0.4.0
DB_NAME                                                      I91A
DBID                                                         4273750959
INSTANCES                                                    1
HOSTS                                                        lnbrorad25
MODULE                                                       SQL*Plus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.16



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
        47 2019-05-26 18:38:59      APPLY                                                                                          25344801                                Patch 25344801 applied
        46 2019-05-26 18:31:24      APPLY                                                                                          20724902                                Patch 20724902 applied
        45 2019-05-26 18:31:23      APPLY                                                                                           9199532                                Patch 9199532 applied
        44 2019-05-26 18:31:03      APPLY                                                                                          27068394                                Patch 27068394 applied
        43 2019-05-26 18:30:58      APPLY                          SERVER                         11.2.0.4                           181016 PSU                            PSU 11.2.0.4.181016
        42 2018-10-21 22:41:54      APPLY                                                                                          25344801                                Patch 25344801 applied
        41 2018-10-21 22:34:38      APPLY                                                                                          20724902                                Patch 20724902 applied
        40 2018-10-21 22:34:37      APPLY                                                                                           9199532                                Patch 9199532 applied
        39 2018-10-21 22:34:16      APPLY                                                                                          27068394                                Patch 27068394 applied
        38 2018-10-21 22:34:11      APPLY                          SERVER                         11.2.0.4                           180717 PSU                            PSU 11.2.0.4.180717

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.04



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SQL*Plus

~~END-MODULE~~
Elapsed: 00:00:00.01

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     35714      35917        204          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     35714               1        1.3         .3        1.6
     35715               1        1.3         .3        1.6
     35716               1        1.3         .3        1.6
     35717               1        1.3         .3        1.6
     35718               1        1.3         .3        1.6
     35719               1        1.3         .3        1.6
     35720               1        1.3         .3        1.6
     35721               1        1.3         .3        1.6
     35722               1        1.3         .3        1.6
     35723               1        1.3         .3        1.6
     35724               1        1.3         .3        1.6
     35725               1        1.3         .3        1.6
     35726               1        1.3         .3        1.6
     35727               1        1.3         .3        1.6
     35728               1        1.3         .3        1.6
     35729               1        1.3         .3        1.6
     35730               1        1.3         .3        1.6
     35731               1        1.3         .3        1.6
     35732               1        1.3         .3        1.6
     35733               1        1.3         .3        1.6
     35734               1        1.3         .3        1.6
     35735               1        1.3         .3        1.6
     35736               1        1.3         .3        1.6
     35737               1        1.3         .3        1.6
     35738               1        1.3         .3        1.6
     35739               1        1.3         .3        1.6
     35740               1        1.3         .3        1.6
     35741               1        1.3         .3        1.6
     35742               1        1.3         .3        1.6
     35743               1        1.3         .3        1.6
     35744               1        1.3         .3        1.6
     35745               1        1.3         .3        1.6
     35746               1        1.3         .3        1.6
     35747               1        1.3         .3        1.6
     35748               1        1.3         .3        1.6
     35749               1        1.3         .3        1.6
     35750               1        1.3         .3        1.6
     35751               1        1.3         .3        1.6
     35752               1        1.3         .3        1.6
     35753               1        1.3         .3        1.6
     35754               1        1.3         .3        1.6
     35755               1        1.3         .3        1.6
     35756               1        1.3         .3        1.6
     35757               1        1.3         .3        1.6
     35758               1        1.3         .3        1.6
     35759               1        1.3         .3        1.6
     35760               1        1.3         .3        1.6
     35761               1        1.3         .3        1.6
     35762               1        1.3         .3        1.6
     35763               1        1.3         .3        1.6
     35764               1        1.3         .3        1.6
     35765               1        1.3         .3        1.6
     35766               1        1.3         .3        1.6
     35767               1        1.3         .3        1.6
     35768               1        1.3         .3        1.6
     35769               1        1.3         .3        1.6
     35770               1        1.3         .3        1.6
     35771               1        1.3         .3        1.6
     35772               1        1.3         .3        1.6
     35773               1        1.3         .3        1.6
     35774               1        1.3         .3        1.6
     35775               1        1.3         .3        1.6
     35776               1        1.3         .3        1.6
     35777               1        1.3         .3        1.6
     35778               1        1.3         .3        1.6
     35779               1        1.3         .3        1.6
     35780               1        1.3         .3        1.6
