~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     8
NUM_CPU_CORES                                                4
NUM_CPU_SOCKETS                                              2
PHYSICAL_MEMORY_GB                                           32
!CPU_COUNT                                                   16
!CPU_CORE_COUNT                                              8
!CPU_SOCKET_COUNT                                            4
!PLATFORM_NAME                                               Solaris[tm] OE (64-bit)
PLATFORM_NAME                                                Solaris[tm]_OE_(64-bit)
VERSION                                                      11.2.0.3.0
DB_NAME                                                      APIXPRD
DBID                                                         54566895
INSTANCES                                                    2
HOSTS                                                        db01-biprd.ctn.ameripath.local,db02-biprd.ctn.ameripath.local
MODULE                                                       sqlplus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.42



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
         4 2013-02-03 06:11:03      APPLY                          SERVER                         11.2.0.3                                4 PSU                            PSU 11.2.0.3.4
         3 2013-02-03 02:28:59      APPLY                          SERVER                         11.2.0.3                                0 PSU                            Patchset 11.2.0.2.0
         2 2013-02-03 02:25:00      UPGRADE                        SERVER                         11.2.0.3.0                                                               Upgraded from 10.2.0.4.0
         1 2013-02-03 02:24:58      VIEW INVALIDATE                                                                                 8289601                                view invalidation

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.16



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sqlplus

~~END-MODULE~~
Elapsed: 00:00:00.07

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
    131241     131566        636          2           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
    131241               1        1.7         .5        2.2
    131241               2        1.7         .4        2.1
    131242               1        1.7         .5        2.2
    131242               2        1.7         .4        2.1
    131243               1        1.7         .5        2.2
    131243               2        1.7         .4        2.1
    131244               1        1.7         .5        2.2
    131244               2        1.7         .4        2.1
    131245               1        1.7         .5        2.2
    131245               2        1.7         .4        2.1
    131246               1        1.7         .5        2.2
    131246               2        1.7         .4        2.1
    131247               1        1.7         .5        2.2
    131247               2        1.7         .4        2.1
    131248               1        1.7         .5        2.2
    131248               2        1.7         .4        2.1
    131249               1        1.7         .5        2.2
    131249               2        1.7         .4        2.1
    131250               1        1.7         .5        2.2
    131250               2        1.7         .4        2.1
    131251               1        1.7         .5        2.2
    131251               2        1.7         .4        2.1
    131252               1        1.7         .5        2.2
    131252               2        1.7         .4        2.1
    131253               1        1.7         .5        2.2
    131253               2        1.7         .4        2.1
    131254               1        1.7         .5        2.2
    131254               2        1.7         .4        2.1
    131255               1        1.7         .5        2.2
    131255               2        1.7         .4        2.1
    131256               1        1.7         .5        2.2
    131256               2        1.7         .4        2.1
    131257               1        1.7         .5        2.2
    131257               2        1.7         .4        2.1
    131258               1        1.7         .5        2.2
    131258               2        1.7         .4        2.1
    131259               1        1.7         .5        2.2
    131259               2        1.7         .4        2.1
    131260               1        1.7         .5        2.2
    131260               2        1.7         .4        2.1
    131261               1        1.7         .5        2.2
    131261               2        1.7         .4        2.1
    131262               1        1.7         .5        2.2
    131262               2        1.7         .4        2.1
    131263               1        1.7         .5        2.2
    131263               2        1.7         .4        2.1
    131264               1        1.7         .5        2.2
    131264               2        1.7         .4        2.1
    131265               1        1.7         .5        2.2
    131265               2        1.7         .4        2.1
    131266               1        1.7         .5        2.2
    131266               2        1.7         .4        2.1
    131267               1        1.7         .5        2.2
    131267               2        1.7         .4        2.1
    131268               1        1.7         .5        2.2
    131268               2        1.7         .4        2.1
    131269               1        1.7         .5        2.2
    131269               2        1.7         .4        2.1
    131270               1        1.7         .5        2.2
    131270               2        1.7         .4        2.1
    131271               1        1.7         .5        2.2
    131271               2        1.7         .4        2.1
    131272               1        1.7         .5        2.2
    131272               2        1.7         .4        2.1
    131273               1        1.7         .5        2.2
    131273               2        1.7         .4        2.1
    131274               1        1.7         .5        2.2
    131274               2        1.7         .4        2.1
    131275               1        1.7         .5        2.2
    131275               2        1.7         .4        2.1
    131276               1        1.7         .5        2.2
    131276               2        1.7         .4        2.1
    131277               1        1.7         .5        2.2
