~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     32
NUM_CPU_CORES                                                16
NUM_CPU_SOCKETS                                              2
PHYSICAL_MEMORY_GB                                           756.56
!CPU_COUNT                                                   32
!CPU_CORE_COUNT                                              16
!CPU_SOCKET_COUNT                                            2
!PLATFORM_NAME                                               Linux x86 64-bit
PLATFORM_NAME                                                Linux_x86_64-bit
VERSION                                                      11.2.0.4.0
DB_NAME                                                      G79A
DBID                                                         621880305
INSTANCES                                                    1
HOSTS                                                        lnbrorad03
MODULE                                                       SQL*Plus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.12



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
        62 2019-05-26 19:12:07      APPLY                                                                                          25344801                                Patch 25344801 applied
        61 2019-05-26 19:03:08      APPLY                                                                                          20724902                                Patch 20724902 applied
        60 2019-05-26 19:03:07      APPLY                                                                                           9199532                                Patch 9199532 applied
        59 2019-05-26 19:02:44      APPLY                                                                                          27068394                                Patch 27068394 applied
        58 2019-05-26 19:02:38      APPLY                          SERVER                         11.2.0.4                           181016 PSU                            PSU 11.2.0.4.181016
        57 2018-10-21 21:02:36      APPLY                                                                                          25344801                                Patch 25344801 applied
        56 2018-10-21 20:53:01      APPLY                                                                                          20724902                                Patch 20724902 applied
        55 2018-10-21 20:53:00      APPLY                                                                                           9199532                                Patch 9199532 applied
        54 2018-10-21 20:52:31      APPLY                                                                                          27068394                                Patch 27068394 applied
        53 2018-10-21 20:52:23      APPLY                          SERVER                         11.2.0.4                           180717 PSU                            PSU 11.2.0.4.180717

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.00



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SQL*Plus

~~END-MODULE~~
Elapsed: 00:00:00.02

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     46459      46656        198          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.00

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     46459               1        5.8         .3        6.1
     46460               1        5.8         .3        6.1
     46461               1        5.8         .3        6.1
     46462               1        5.8         .3        6.1
     46463               1        5.8         .3        6.1
     46464               1        5.8         .3        6.1
     46465               1        5.8         .3        6.1
     46466               1        5.8         .3        6.1
     46467               1        5.8         .3        6.1
     46468               1        5.8         .3        6.1
     46469               1        5.8         .3        6.1
     46470               1        5.8         .3        6.1
     46471               1        5.8         .3        6.1
     46472               1        5.8         .3        6.1
     46473               1        5.8         .3        6.1
     46474               1        5.8         .3        6.1
     46475               1        5.8         .3        6.1
     46476               1        5.8         .3        6.1
     46477               1        5.8         .3        6.1
     46478               1        5.8         .3        6.1
     46479               1        5.8         .3        6.1
     46480               1        5.8         .3        6.1
     46481               1        5.8         .3        6.1
     46482               1        5.8         .3        6.1
     46483               1        5.8         .3        6.1
     46484               1        5.8         .3        6.1
     46485               1        5.8         .3        6.1
     46486               1        5.8         .3        6.1
     46487               1        5.8         .3        6.1
     46488               1        5.8         .3        6.1
     46489               1        5.8         .3        6.1
     46490               1        5.8         .3        6.1
     46491               1        5.8         .3        6.1
     46492               1        5.8         .3        6.1
     46493               1        5.8         .3        6.1
     46494               1        5.8         .3        6.1
     46495               1        5.8         .3        6.1
     46496               1        5.8         .3        6.1
     46497               1        5.8         .3        6.1
     46498               1        5.8         .3        6.1
     46499               1        5.8         .3        6.1
     46500               1        5.8         .3        6.1
     46501               1        5.8         .3        6.1
     46502               1        5.8         .3        6.1
     46503               1        5.8         .3        6.1
     46504               1        5.8         .3        6.1
     46505               1        5.8         .3        6.1
     46506               1        5.8         .3        6.1
     46507               1        5.8         .3        6.1
     46508               1        5.8         .3        6.1
     46509               1        5.8         .3        6.1
     46510               1        5.8         .3        6.1
     46511               1        5.8         .3        6.1
     46512               1        5.8         .3        6.1
     46513               1        5.8         .3        6.1
     46514               1        5.8         .3        6.1
     46515               1        5.8         .3        6.1
     46516               1        5.8         .3        6.1
     46517               1        5.8         .3        6.1
     46518               1        5.8         .3        6.1
     46519               1        5.8         .3        6.1
     46520               1        5.8         .3        6.1
     46521               1        5.8         .3        6.1
     46522               1        5.8         .3        6.1
     46523               1        5.8         .3        6.1
     46524               1        5.8         .3        6.1
     46525               1        5.8         .3        6.1
