~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
NUM_CPUS                                                     32
NUM_CPU_CORES                                                16
NUM_CPU_SOCKETS                                              4
PHYSICAL_MEMORY_GB                                           64
!CPU_COUNT                                                   64
!CPU_CORE_COUNT                                              32
!CPU_SOCKET_COUNT                                            8
!PLATFORM_NAME                                               Solaris[tm] OE (64-bit)
PLATFORM_NAME                                                Solaris[tm]_OE_(64-bit)
VERSION                                                      11.2.0.3.0
DB_NAME                                                      PWHLPR
DBID                                                         693562010
INSTANCES                                                    2
HOSTS                                                        dbm01-lisprd.ctn.ameripath.local,dbm02-lisprd.ctn.ameripath.local
MODULE                                                       sqlplus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.49



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
         5 2013-04-28 01:12:43      APPLY                          SERVER                         11.2.0.3                                4 PSU                            PSU 11.2.0.3.4
         4 2013-04-28 01:09:47      UPGRADE                        SERVER                         11.2.0.3.0                                                               Upgraded from 10.2.0.4.0
         3 2013-04-28 01:09:46      VIEW INVALIDATE                                                                                 8289601                                view invalidation
         2 2008-08-09 23:01:47      UPGRADE                        SERVER                         10.2.0.4.0                                                               Upgraded from 10.2.0.3.0
         1 2007-02-17 22:30:14      UPGRADE                        SERVER                         10.2.0.3.0                                                               Upgraded from 10.2.0.2.0

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.27



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sqlplus

~~END-MODULE~~
Elapsed: 00:00:00.07

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
    215218     215588        742          2           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.02

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
    215218               1        3.6         .8        4.4
    215218               2        3.6         .8        4.4
    215219               1        3.6         .8        4.4
    215219               2        3.6         .8        4.4
    215220               1        3.6         .8        4.4
    215220               2        3.6         .8        4.4
    215221               1        3.6         .8        4.4
    215221               2        3.6         .8        4.4
    215222               1        3.6         .8        4.4
    215222               2        3.6         .8        4.4
    215223               1        3.6         .8        4.4
    215223               2        3.6         .8        4.4
    215224               1        3.6         .8        4.4
    215224               2        3.6         .8        4.4
    215225               1        3.6         .8        4.4
    215225               2        3.6         .8        4.4
    215226               1        3.6         .8        4.4
    215226               2        3.6         .8        4.4
    215227               1        3.6         .8        4.4
    215227               2        3.6         .8        4.4
    215228               1        3.6         .8        4.4
    215228               2        3.6         .8        4.4
    215229               1        3.6         .8        4.4
    215229               2        3.6         .8        4.4
    215230               1        3.6         .8        4.4
    215230               2        3.6         .8        4.4
    215231               1        3.6         .8        4.4
    215231               2        3.6         .8        4.4
    215232               1        3.6         .8        4.4
    215232               2        3.6         .8        4.4
    215233               1        3.6         .8        4.4
    215233               2        3.6         .8        4.4
    215234               1        3.6         .8        4.4
    215234               2        3.6         .8        4.4
    215235               1        3.6         .8        4.4
    215235               2        3.6         .8        4.4
    215236               1        3.6         .8        4.4
    215236               2        3.6         .8        4.4
    215237               1        3.6         .8        4.4
    215237               2        3.6         .8        4.4
    215238               1        3.6         .8        4.4
    215238               2        3.6         .8        4.4
    215239               1        3.6         .8        4.4
    215239               2        3.6         .8        4.4
    215240               1        3.6         .8        4.4
    215240               2        3.6         .8        4.4
    215241               1        3.6         .8        4.4
    215241               2        3.6         .8        4.4
    215242               1        3.6         .8        4.4
    215242               2        3.6         .8        4.4
    215243               1        3.6         .8        4.4
    215243               2        3.6         .8        4.4
    215244               1        3.6         .8        4.4
    215244               2        3.6         .8        4.4
    215245               1        3.6         .8        4.4
    215245               2        3.6         .8        4.4
    215246               1        3.6         .8        4.4
    215246               2        3.6         .8        4.4
    215247               1        3.6         .8        4.4
    215247               2        3.6         .8        4.4
    215248               1        3.6         .8        4.4
    215248               2        3.6         .8        4.4
    215249               1        3.6         .8        4.4
    215249               2        3.6         .8        4.4
    215250               1        3.6         .8        4.4
    215250               2        3.6         .8        4.4
    215251               1        3.6         .8        4.4
    215251               2        3.6         .8        4.4
    215252               1        3.6         .8        4.4
    215252               2        3.6         .8        4.4
    215253               1        3.6         .8        4.4
    215253               2        3.6         .8        4.4
    215254               1        3.6         .8        4.4
    215254               2        3.6         .8        4.4
    215255               1        3.6         .8        4.4
    215255               2        3.6         .8        4.4
    215256               1        3.6         .8        4.4
    215256               2        3.6         .8        4.4
    215257               1        3.6         .8        4.4
    215257               2        3.6         .8        4.4
    215258               1        3.6         .8        4.4
    215258               2        3.6         .8        4.4
    215259               1        3.6         .8        4.4
    215259               2        3.6         .8        4.4
    215260               1        3.6         .8        4.4
    215260               2        3.6         .8        4.4
    215261               1        3.6         .8        4.4
    215261               2        3.6         .8        4.4
    215262               1        3.6         .8        4.4
    215262               2        3.6         .8        4.4
    215263               1        3.6         .8        4.4
    215263               2        3.6         .8        4.4
    215264               1        3.6         .8        4.4
    215264               2        3.6         .8        4.4
    215265               1        3.6         .8        4.4
    215265               2        3.6         .8        4.4
    215266               1        3.6         .8        4.4
    215266               2        3.6         .8        4.4
    215267               1        3.6         .8        4.4
    215267               2        3.6         .8        4.4
    215268               1        3.6         .8        4.4
    215268               2        3.6         .8        4.4
    215269               1        3.6         .8        4.4
    215269               2        3.6         .8        4.4
    215270               1        3.6         .8        4.4
    215270               2        3.6         .8        4.4
    215271               1        3.6         .9        4.5
    215271               2        3.6         .8        4.4
    215272               1        3.6         .8        4.4
    215272               2        3.6         .8        4.4
    215273               1        3.6         .8        4.4
    215273               2        3.6         .8        4.4
    215274               1        3.6         .8        4.4
    215274               2        3.6         .8        4.4
    215275               1        3.6         .8        4.4
    215275               2        3.6         .8        4.4
    215276               1        3.6         .8        4.4
    215276               2        3.6         .8        4.4
    215277               1        3.6         .8        4.4
    215277               2        3.6         .8        4.4
    215278               1        3.6         .8        4.4
    215278               2        3.6         .8        4.4
    215279               1        3.6         .8        4.4
    215279               2        3.6         .8        4.4
    215280               1        3.6         .8        4.4
    215280               2        3.6         .8        4.4
    215281               1        3.6         .8        4.4
    215281               2        3.6         .8        4.4
    215282               1        3.6         .8        4.4
    215282               2        3.6         .8        4.4
    215283               1        3.6         .8        4.4
    215283               2        3.6         .8        4.4
    215284               1        3.6         .8        4.4
    215284               2        3.6         .8        4.4
    215285               1        3.6         .8        4.4
    215285               2        3.6         .8        4.4
    215286               1        3.6         .8        4.4
    215286               2        3.6         .8        4.4
    215287               1        3.6         .9        4.5
    215287               2        3.6         .8        4.4
    215288               1        3.6         .8        4.4
    215288               2        3.6         .8        4.4
    215289               1        3.6         .8        4.4
    215289               2        3.6         .8        4.4
    215290               1        3.6         .8        4.4
    215290               2        3.6         .8        4.4
    215291               1        3.6         .8        4.4
    215291               2        3.6         .8        4.4
    215292               1        3.6         .8        4.4
    215292               2        3.6         .8        4.4
    215293               1        3.6         .8        4.4
    215293               2        3.6         .8        4.4
